date,ageclass,gender,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-01-23,50-59,d,9,0,0
2021-01-23,50-59,f,15381,1604,1
2021-01-23,50-59,m,12312,1127,0
2021-01-23,60-69,d,13,0,0
2021-01-23,60-69,f,17226,1337,1
2021-01-23,60-69,m,15433,1350,0
2021-01-23,70-79,d,25,0,0
2021-01-23,70-79,f,25716,2702,0
2021-01-23,70-79,m,22845,2922,0
2021-01-23,80+,d,15,0,0
2021-01-23,80+,f,32638,5077,0
2021-01-23,80+,m,22835,4517,0
2021-01-23,NA,d,0,0,0
2021-01-23,NA,f,32,2,0
2021-01-23,NA,m,15,1,0
2021-01-24,0-9,d,0,0,0
2021-01-24,0-9,f,13,1,0
2021-01-24,0-9,m,4,2,0
2021-01-24,10-19,d,1,0,0
2021-01-24,10-19,f,662,49,0
2021-01-24,10-19,m,300,22,0
2021-01-24,20-29,d,1,0,0
2021-01-24,20-29,f,5401,651,0
2021-01-24,20-29,m,2745,314,0
2021-01-24,30-39,d,4,0,0
2021-01-24,30-39,f,7966,1168,0
2021-01-24,30-39,m,5263,755,0
2021-01-24,40-49,d,8,0,0
2021-01-24,40-49,f,10285,1201,0
2021-01-24,40-49,m,7102,801,0
2021-01-24,50-59,d,9,0,0
2021-01-24,50-59,f,15381,1604,1
2021-01-24,50-59,m,12312,1128,0
2021-01-24,60-69,d,13,0,0
2021-01-24,60-69,f,17226,1338,1
2021-01-24,60-69,m,15433,1353,0
2021-01-24,70-79,d,25,0,0
2021-01-24,70-79,f,25716,2703,0
2021-01-24,70-79,m,22845,2927,0
2021-01-24,80+,d,15,0,0
2021-01-24,80+,f,32638,5085,0
2021-01-24,80+,m,22835,4522,0
2021-01-24,NA,d,0,0,0
2021-01-24,NA,f,32,2,0
2021-01-24,NA,m,15,1,0
2021-01-25,0-9,d,0,0,0
2021-01-25,0-9,f,13,1,0
2021-01-25,0-9,m,4,2,0
2021-01-25,10-19,d,1,0,0
2021-01-25,10-19,f,662,50,0
2021-01-25,10-19,m,300,22,0
2021-01-25,20-29,d,1,0,0
2021-01-25,20-29,f,5401,663,0
2021-01-25,20-29,m,2745,315,0
2021-01-25,30-39,d,4,0,0
2021-01-25,30-39,f,7966,1180,0
2021-01-25,30-39,m,5263,772,0
2021-01-25,40-49,d,8,0,0
2021-01-25,40-49,f,10285,1229,0
2021-01-25,40-49,m,7102,822,0
2021-01-25,50-59,d,9,0,0
2021-01-25,50-59,f,15381,1657,1
2021-01-25,50-59,m,12312,1180,0
2021-01-25,60-69,d,13,0,0
2021-01-25,60-69,f,17226,1413,1
2021-01-25,60-69,m,15433,1455,1
2021-01-25,70-79,d,25,0,0
2021-01-25,70-79,f,25716,3018,0
2021-01-25,70-79,m,22845,3223,0
2021-01-25,80+,d,15,0,0
